invoice_id,received_date,week_ending,channel,supplier_tier,processor_id,shift,month_end_period,invoice_amount_eur,error_flag,error_type,rework_minutes,days_to_pay
INV-000030,2026-06-03,2026-06-05,email_pdf,tier_2_preferred,AP-06,early,0,4824.91,0,,0.0,13
INV-000031,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-02,early,0,11447.09,1,missing_po,14.1,40
INV-000032,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-04,early,0,2709.04,0,,0.0,21
INV-000033,2026-06-03,2026-06-05,email_pdf,tier_3_tail,AP-06,early,0,2055.54,0,,0.0,22
INV-000034,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-05,late,0,377.19,0,,0.0,20
INV-000035,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-03,early,0,2612.2,0,,0.0,17
INV-000036,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-02,early,0,4632.52,0,,0.0,22
INV-000037,2026-06-02,2026-06-05,email_pdf,tier_1_strategic,AP-03,late,0,1693.33,0,,0.0,14
INV-000038,2026-06-03,2026-06-05,edi,tier_2_preferred,AP-03,late,0,1865.42,0,,0.0,9
INV-000039,2026-06-05,2026-06-05,email_pdf,tier_1_strategic,AP-05,late,0,2862.56,0,,0.0,16
INV-000040,2026-06-03,2026-06-05,supplier_portal,tier_2_preferred,AP-03,early,0,4660.89,0,,0.0,12
INV-000041,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-04,early,0,2786.28,1,price_mismatch,14.3,50
INV-000042,2026-06-05,2026-06-05,email_pdf,tier_1_strategic,AP-03,early,0,485.7,0,,0.0,11
INV-000043,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-02,early,0,6073.91,0,,0.0,15
INV-000044,2026-06-03,2026-06-05,email_pdf,tier_2_preferred,AP-07,early,0,970.22,0,,0.0,15
INV-000045,2026-06-03,2026-06-05,edi,tier_3_tail,AP-04,late,0,1074.55,0,,0.0,16
INV-000046,2026-06-04,2026-06-05,supplier_portal,tier_3_tail,AP-04,late,0,1578.47,0,,0.0,16
INV-000047,2026-06-03,2026-06-05,email_pdf,tier_3_tail,AP-02,late,0,1568.13,0,,0.0,15
INV-000048,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-04,late,0,1596.98,0,,0.0,16
INV-000049,2026-06-02,2026-06-05,supplier_portal,tier_2_preferred,AP-07,early,0,808.39,0,,0.0,12
INV-000050,2026-06-04,2026-06-05,email_pdf,tier_2_preferred,AP-03,early,0,5128.73,0,,0.0,18
INV-000051,2026-06-02,2026-06-05,supplier_portal,tier_3_tail,AP-03,early,0,3643.4,0,,0.0,18
INV-000052,2026-06-04,2026-06-05,email_pdf,tier_2_preferred,AP-07,late,0,3872.21,0,,0.0,25
INV-000053,2026-06-03,2026-06-05,email_pdf,tier_3_tail,AP-04,early,0,1173.67,0,,0.0,18
INV-000054,2026-06-05,2026-06-05,supplier_portal,tier_2_preferred,AP-07,early,0,3031.69,0,,0.0,21
INV-000055,2026-06-05,2026-06-05,supplier_portal,tier_1_strategic,AP-02,early,0,2795.16,0,,0.0,15
INV-000056,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-02,late,0,1000.34,0,,0.0,12
INV-000057,2026-06-04,2026-06-05,supplier_portal,tier_1_strategic,AP-01,early,0,1837.84,0,,0.0,29
INV-000058,2026-06-01,2026-06-05,email_pdf,tier_1_strategic,AP-04,late,0,3723.18,0,,0.0,16
INV-000059,2026-06-03,2026-06-05,email_pdf,tier_2_preferred,AP-02,late,0,2126.86,0,,0.0,18
INV-000060,2026-06-01,2026-06-05,email_pdf,tier_1_strategic,AP-03,early,0,646.38,0,,0.0,19
INV-000061,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-07,early,0,3525.37,0,,0.0,17
INV-000062,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-05,early,0,256.59,1,missing_po,9.4,31
INV-000063,2026-06-03,2026-06-05,supplier_portal,tier_2_preferred,AP-02,late,0,3586.16,0,,0.0,15
INV-000064,2026-06-04,2026-06-05,supplier_portal,tier_3_tail,AP-05,early,0,1084.93,0,,0.0,13
INV-000065,2026-06-03,2026-06-05,email_pdf,tier_2_preferred,AP-01,late,0,1353.43,0,,0.0,18
INV-000066,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-06,early,0,842.98,0,,0.0,26
INV-000067,2026-06-04,2026-06-05,email_pdf,tier_2_preferred,AP-01,early,0,676.47,0,,0.0,19
INV-000068,2026-06-05,2026-06-05,email_pdf,tier_2_preferred,AP-06,early,0,1582.36,0,,0.0,19
INV-000069,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-01,late,0,1616.0,0,,0.0,16
INV-000070,2026-06-02,2026-06-05,email_pdf,tier_1_strategic,AP-01,late,0,1285.63,0,,0.0,16
INV-000071,2026-06-02,2026-06-05,edi,tier_1_strategic,AP-02,early,0,1442.82,0,,0.0,19
INV-000072,2026-06-03,2026-06-05,email_pdf,tier_2_preferred,AP-06,early,0,1489.35,1,duplicate,3.6,35
INV-000073,2026-06-04,2026-06-05,edi,tier_2_preferred,AP-03,early,0,1845.08,0,,0.0,22
INV-000074,2026-06-05,2026-06-05,supplier_portal,tier_1_strategic,AP-02,late,0,507.12,0,,0.0,13
INV-000075,2026-06-03,2026-06-05,email_pdf,tier_1_strategic,AP-06,early,0,834.39,0,,0.0,21
INV-000076,2026-06-05,2026-06-05,email_pdf,tier_2_preferred,AP-07,early,0,3891.68,0,,0.0,16
INV-000077,2026-06-05,2026-06-05,edi,tier_3_tail,AP-07,early,0,9031.37,0,,0.0,16
INV-000078,2026-06-04,2026-06-05,supplier_portal,tier_2_preferred,AP-05,early,0,837.69,0,,0.0,20
INV-000079,2026-06-03,2026-06-05,email_pdf,tier_2_preferred,AP-01,early,0,972.44,0,,0.0,20
INV-000080,2026-06-02,2026-06-05,supplier_portal,tier_3_tail,AP-04,late,0,2105.0,0,,0.0,15
INV-000081,2026-06-04,2026-06-05,supplier_portal,tier_3_tail,AP-01,late,0,4162.14,0,,0.0,20
INV-000082,2026-06-01,2026-06-05,supplier_portal,tier_1_strategic,AP-07,late,0,1086.06,0,,0.0,21
INV-000083,2026-06-02,2026-06-05,edi,tier_3_tail,AP-04,early,0,397.58,0,,0.0,14
INV-000084,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-07,late,0,1841.79,0,,0.0,23
INV-000085,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-07,early,0,9511.44,0,,0.0,17
INV-000086,2026-06-03,2026-06-05,supplier_portal,tier_3_tail,AP-02,early,0,2560.54,0,,0.0,21
INV-000087,2026-06-01,2026-06-05,edi,tier_3_tail,AP-05,late,0,3285.63,0,,0.0,22
INV-000088,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-07,late,0,1988.95,0,,0.0,20
INV-000089,2026-06-01,2026-06-05,supplier_portal,tier_1_strategic,AP-03,late,0,2026.56,0,,0.0,18
INV-000090,2026-06-05,2026-06-05,email_pdf,tier_1_strategic,AP-03,early,0,6969.32,0,,0.0,21
INV-000091,2026-06-03,2026-06-05,email_pdf,tier_1_strategic,AP-06,early,0,1717.43,0,,0.0,17
INV-000092,2026-06-05,2026-06-05,supplier_portal,tier_2_preferred,AP-05,early,0,2593.49,0,,0.0,17
INV-000093,2026-06-02,2026-06-05,email_pdf,tier_3_tail,AP-05,early,0,1634.97,0,,0.0,24
INV-000094,2026-06-04,2026-06-05,supplier_portal,tier_2_preferred,AP-07,early,0,401.62,0,,0.0,23
INV-000095,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-06,late,0,20385.45,1,price_mismatch,14.0,32
INV-000096,2026-06-01,2026-06-05,edi,tier_2_preferred,AP-03,late,0,1829.06,0,,0.0,20
INV-000097,2026-06-03,2026-06-05,edi,tier_2_preferred,AP-04,early,0,685.91,0,,0.0,27
INV-000098,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-04,late,0,2277.8,1,missing_po,24.5,24
INV-000099,2026-06-03,2026-06-05,supplier_portal,tier_1_strategic,AP-02,early,0,9224.22,0,,0.0,17
INV-000100,2026-06-02,2026-06-05,supplier_portal,tier_1_strategic,AP-01,late,0,4801.58,0,,0.0,21
INV-000101,2026-06-02,2026-06-05,supplier_portal,tier_3_tail,AP-03,late,0,2860.29,0,,0.0,23
INV-000102,2026-06-05,2026-06-05,supplier_portal,tier_1_strategic,AP-02,early,0,2988.82,0,,0.0,12
INV-000103,2026-06-03,2026-06-05,edi,tier_2_preferred,AP-07,early,0,812.62,0,,0.0,22
INV-000104,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-05,early,0,1392.98,0,,0.0,16
INV-000105,2026-06-04,2026-06-05,email_pdf,tier_2_preferred,AP-03,late,0,1994.18,0,,0.0,18
INV-000106,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-04,early,0,1591.56,0,,0.0,16
INV-000107,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-01,early,0,677.75,0,,0.0,19
INV-000108,2026-06-02,2026-06-05,supplier_portal,tier_3_tail,AP-01,early,0,3301.79,0,,0.0,5
INV-000109,2026-06-03,2026-06-05,email_pdf,tier_3_tail,AP-07,late,0,394.98,1,price_mismatch,8.2,31
INV-000110,2026-06-01,2026-06-05,email_pdf,tier_1_strategic,AP-06,early,0,850.4,0,,0.0,22
INV-000111,2026-06-03,2026-06-05,supplier_portal,tier_3_tail,AP-06,early,0,386.92,0,,0.0,18
INV-000112,2026-06-01,2026-06-05,edi,tier_3_tail,AP-05,early,0,2112.98,0,,0.0,22
INV-000113,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-04,late,0,897.7,0,,0.0,14
INV-000114,2026-06-04,2026-06-05,email_pdf,tier_1_strategic,AP-01,early,0,10793.46,0,,0.0,19
INV-000115,2026-06-02,2026-06-05,email_pdf,tier_3_tail,AP-03,late,0,3410.45,0,,0.0,20
INV-000116,2026-06-01,2026-06-05,email_pdf,tier_2_preferred,AP-03,early,0,872.84,1,price_mismatch,23.0,20
INV-000117,2026-06-01,2026-06-05,email_pdf,tier_1_strategic,AP-03,early,0,2337.78,0,,0.0,21
INV-000118,2026-06-02,2026-06-05,supplier_portal,tier_3_tail,AP-04,early,0,1899.96,0,,0.0,19
INV-000119,2026-06-05,2026-06-05,edi,tier_3_tail,AP-04,late,0,4143.39,0,,0.0,18
INV-000120,2026-06-04,2026-06-05,email_pdf,tier_1_strategic,AP-01,late,0,589.67,0,,0.0,16
INV-000121,2026-06-02,2026-06-05,supplier_portal,tier_3_tail,AP-04,early,0,5149.74,0,,0.0,16
INV-000122,2026-06-01,2026-06-05,supplier_portal,tier_3_tail,AP-06,early,0,2207.94,0,,0.0,17
INV-000123,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-02,late,0,1950.44,0,,0.0,16
INV-000124,2026-06-03,2026-06-05,supplier_portal,tier_2_preferred,AP-05,late,0,2199.03,1,tax_code,9.2,28
INV-000125,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-05,early,0,1911.67,1,qty_mismatch,25.1,35
INV-000126,2026-06-05,2026-06-05,edi,tier_1_strategic,AP-06,early,0,4244.66,0,,0.0,15
INV-000127,2026-06-04,2026-06-05,supplier_portal,tier_3_tail,AP-07,early,0,4921.31,0,,0.0,13
INV-000128,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-04,early,0,2915.48,0,,0.0,15
INV-000129,2026-06-04,2026-06-05,email_pdf,tier_2_preferred,AP-03,early,0,5279.85,0,,0.0,22
INV-000130,2026-06-02,2026-06-05,edi,tier_2_preferred,AP-07,late,0,401.85,0,,0.0,17
INV-000131,2026-06-04,2026-06-05,edi,tier_3_tail,AP-01,early,0,2165.99,0,,0.0,19
INV-000132,2026-06-01,2026-06-05,edi,tier_3_tail,AP-04,early,0,5210.71,0,,0.0,15
INV-000133,2026-06-02,2026-06-05,edi,tier_3_tail,AP-05,early,0,4935.21,0,,0.0,16
INV-000134,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-01,early,0,1364.25,0,,0.0,20
INV-000135,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-07,early,0,1447.58,1,missing_po,14.7,34
INV-000136,2026-06-02,2026-06-05,email_pdf,tier_3_tail,AP-03,early,0,405.61,0,,0.0,9
INV-000137,2026-06-02,2026-06-05,supplier_portal,tier_1_strategic,AP-02,late,0,2158.21,0,,0.0,15
INV-000138,2026-06-05,2026-06-05,supplier_portal,tier_2_preferred,AP-03,late,0,3279.67,0,,0.0,23
INV-000139,2026-06-04,2026-06-05,supplier_portal,tier_1_strategic,AP-07,late,0,1860.43,0,,0.0,21
INV-000140,2026-06-02,2026-06-05,email_pdf,tier_3_tail,AP-04,early,0,3927.69,0,,0.0,22
INV-000141,2026-06-02,2026-06-05,edi,tier_2_preferred,AP-01,late,0,2018.86,0,,0.0,18
INV-000142,2026-06-02,2026-06-05,edi,tier_3_tail,AP-06,late,0,10349.66,0,,0.0,12
INV-000143,2026-06-02,2026-06-05,supplier_portal,tier_2_preferred,AP-02,late,0,948.45,0,,0.0,19
INV-000144,2026-06-01,2026-06-05,email_pdf,tier_1_strategic,AP-05,early,0,845.49,0,,0.0,20
INV-000145,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-05,late,0,2115.89,0,,0.0,13
INV-000146,2026-06-01,2026-06-05,email_pdf,tier_2_preferred,AP-03,late,0,4081.53,0,,0.0,17
INV-000147,2026-06-02,2026-06-05,supplier_portal,tier_2_preferred,AP-06,late,0,3988.48,0,,0.0,17
INV-000148,2026-06-03,2026-06-05,email_pdf,tier_3_tail,AP-02,early,0,3190.6,0,,0.0,23
INV-000149,2026-06-03,2026-06-05,supplier_portal,tier_3_tail,AP-02,early,0,5251.44,0,,0.0,22
INV-000150,2026-06-04,2026-06-05,edi,tier_2_preferred,AP-02,late,0,1128.53,0,,0.0,21
INV-000151,2026-06-03,2026-06-05,email_pdf,tier_1_strategic,AP-06,early,0,3198.65,0,,0.0,17
INV-000152,2026-06-03,2026-06-05,supplier_portal,tier_3_tail,AP-06,early,0,1361.8,0,,0.0,20
INV-000153,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-01,early,0,10280.0,0,,0.0,23
INV-000154,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-04,early,0,718.95,0,,0.0,16
INV-000155,2026-06-02,2026-06-05,edi,tier_2_preferred,AP-02,early,0,2178.14,0,,0.0,16
INV-000156,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-07,early,0,2562.73,0,,0.0,15
INV-000157,2026-06-04,2026-06-05,supplier_portal,tier_2_preferred,AP-06,early,0,5762.03,0,,0.0,17
INV-000158,2026-06-05,2026-06-05,supplier_portal,tier_3_tail,AP-05,early,0,6871.28,1,price_mismatch,8.5,13
INV-000159,2026-06-04,2026-06-05,email_pdf,tier_1_strategic,AP-06,early,0,1205.66,0,,0.0,23
INV-000160,2026-06-05,2026-06-05,email_pdf,tier_2_preferred,AP-01,early,0,626.72,0,,0.0,15
INV-000161,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-05,late,0,3062.67,1,qty_mismatch,8.2,34
INV-000162,2026-06-03,2026-06-05,edi,tier_2_preferred,AP-02,early,0,1541.09,0,,0.0,13
INV-000163,2026-06-05,2026-06-05,supplier_portal,tier_2_preferred,AP-06,early,0,440.3,0,,0.0,17
INV-000164,2026-06-05,2026-06-05,edi,tier_3_tail,AP-04,early,0,1594.68,0,,0.0,18
INV-000165,2026-06-04,2026-06-05,email_pdf,tier_2_preferred,AP-06,early,0,1086.88,1,missing_po,15.2,23
INV-000166,2026-06-05,2026-06-05,email_pdf,tier_1_strategic,AP-04,early,0,3263.4,0,,0.0,20
INV-000167,2026-06-05,2026-06-05,supplier_portal,tier_2_preferred,AP-04,early,0,2075.36,0,,0.0,16
INV-000168,2026-06-03,2026-06-05,edi,tier_2_preferred,AP-04,early,0,3517.98,0,,0.0,21
INV-000169,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-07,early,0,2720.65,0,,0.0,14
INV-000170,2026-06-03,2026-06-05,email_pdf,tier_2_preferred,AP-01,late,0,7774.08,0,,0.0,21
INV-000171,2026-06-01,2026-06-05,edi,tier_3_tail,AP-07,early,0,10136.05,0,,0.0,18
INV-000172,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-02,late,0,932.55,0,,0.0,22
INV-000173,2026-06-03,2026-06-05,supplier_portal,tier_3_tail,AP-03,late,0,3377.46,0,,0.0,21
INV-000174,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-02,late,0,4965.4,0,,0.0,16
INV-000175,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-04,early,0,1685.73,0,,0.0,21
INV-000176,2026-06-01,2026-06-05,supplier_portal,tier_3_tail,AP-06,early,0,1750.3,0,,0.0,22
INV-000177,2026-06-02,2026-06-05,edi,tier_2_preferred,AP-05,early,0,1802.04,0,,0.0,15
INV-000178,2026-06-03,2026-06-05,email_pdf,tier_3_tail,AP-07,early,0,11011.02,0,,0.0,21
INV-000179,2026-06-02,2026-06-05,email_pdf,tier_3_tail,AP-06,early,0,1380.49,0,,0.0,15
INV-000180,2026-06-02,2026-06-05,edi,tier_2_preferred,AP-01,early,0,5408.84,0,,0.0,18
INV-000181,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-05,early,0,1969.6,0,,0.0,6
INV-000182,2026-06-05,2026-06-05,supplier_portal,tier_2_preferred,AP-05,late,0,5167.98,0,,0.0,19
INV-000183,2026-06-02,2026-06-05,supplier_portal,tier_3_tail,AP-01,early,0,3721.52,0,,0.0,16
INV-000184,2026-06-02,2026-06-05,email_pdf,tier_3_tail,AP-04,early,0,859.9,0,,0.0,18
INV-000185,2026-06-03,2026-06-05,edi,tier_3_tail,AP-01,late,0,5901.47,0,,0.0,20
INV-000186,2026-06-03,2026-06-05,email_pdf,tier_1_strategic,AP-07,late,0,776.42,0,,0.0,17
INV-000187,2026-06-03,2026-06-05,supplier_portal,tier_3_tail,AP-07,early,0,1064.47,0,,0.0,17
INV-000188,2026-06-04,2026-06-05,email_pdf,tier_2_preferred,AP-01,early,0,3857.64,1,price_mismatch,18.3,21
INV-000189,2026-06-04,2026-06-05,supplier_portal,tier_3_tail,AP-04,early,0,1885.4,0,,0.0,22
INV-000190,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-03,late,0,1523.93,0,,0.0,19
INV-000191,2026-06-05,2026-06-05,email_pdf,tier_2_preferred,AP-05,late,0,981.16,0,,0.0,14
INV-000192,2026-06-02,2026-06-05,edi,tier_3_tail,AP-06,early,0,2402.27,0,,0.0,16
INV-000193,2026-06-03,2026-06-05,supplier_portal,tier_3_tail,AP-02,late,0,1907.27,0,,0.0,16
INV-000194,2026-06-02,2026-06-05,supplier_portal,tier_3_tail,AP-06,early,0,3177.45,1,qty_mismatch,20.6,20
INV-000195,2026-06-01,2026-06-05,email_pdf,tier_2_preferred,AP-04,early,0,2684.44,0,,0.0,20
INV-000196,2026-06-05,2026-06-05,supplier_portal,tier_3_tail,AP-06,early,0,7147.56,0,,0.0,16
INV-000197,2026-06-03,2026-06-05,edi,tier_3_tail,AP-03,late,0,3034.53,0,,0.0,11
INV-000198,2026-06-03,2026-06-05,edi,tier_3_tail,AP-04,early,0,2899.05,0,,0.0,14
INV-000199,2026-06-03,2026-06-05,supplier_portal,tier_2_preferred,AP-07,early,0,1767.34,0,,0.0,15
INV-000200,2026-06-04,2026-06-05,edi,tier_3_tail,AP-05,early,0,509.5,0,,0.0,19
INV-000201,2026-06-02,2026-06-05,email_pdf,tier_1_strategic,AP-07,late,0,758.85,0,,0.0,22
INV-000202,2026-06-02,2026-06-05,supplier_portal,tier_3_tail,AP-01,late,0,4832.19,0,,0.0,23
INV-000203,2026-06-03,2026-06-05,supplier_portal,tier_3_tail,AP-02,early,0,2598.85,0,,0.0,16
INV-000204,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-07,late,0,1092.56,0,,0.0,20
INV-000205,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-07,early,0,4031.52,0,,0.0,22
INV-000206,2026-06-03,2026-06-05,email_pdf,tier_2_preferred,AP-03,early,0,1475.43,0,,0.0,16
INV-000207,2026-06-02,2026-06-05,edi,tier_1_strategic,AP-05,early,0,667.14,0,,0.0,6
INV-000208,2026-06-05,2026-06-05,supplier_portal,tier_1_strategic,AP-01,late,0,3187.94,0,,0.0,11
INV-000209,2026-06-05,2026-06-05,email_pdf,tier_1_strategic,AP-03,late,0,2005.68,0,,0.0,20
INV-000210,2026-06-03,2026-06-05,edi,tier_2_preferred,AP-07,late,0,1450.3,0,,0.0,21
INV-000211,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-03,early,0,2515.87,0,,0.0,17
INV-000212,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-06,early,0,1524.05,0,,0.0,8
INV-000213,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-07,early,0,984.32,1,missing_po,13.0,21
INV-000214,2026-06-01,2026-06-05,supplier_portal,tier_3_tail,AP-06,early,0,2565.17,0,,0.0,19
INV-000215,2026-06-05,2026-06-05,supplier_portal,tier_3_tail,AP-06,early,0,1077.17,0,,0.0,28
INV-000216,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-02,late,0,875.71,0,,0.0,20
INV-000217,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-02,late,0,1901.06,0,,0.0,19
INV-000218,2026-06-01,2026-06-05,supplier_portal,tier_1_strategic,AP-03,late,0,1177.26,0,,0.0,17
INV-000219,2026-06-03,2026-06-05,edi,tier_2_preferred,AP-01,early,0,1389.35,0,,0.0,9
INV-000220,2026-06-05,2026-06-05,supplier_portal,tier_2_preferred,AP-05,early,0,2413.52,0,,0.0,14
INV-000221,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-03,late,0,985.62,0,,0.0,13
INV-000222,2026-06-02,2026-06-05,email_pdf,tier_2_preferred,AP-06,early,0,9681.47,0,,0.0,15
INV-000223,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-07,early,0,2909.1,0,,0.0,22
INV-000224,2026-06-03,2026-06-05,edi,tier_2_preferred,AP-04,late,0,1219.32,0,,0.0,18
INV-000225,2026-06-02,2026-06-05,supplier_portal,tier_2_preferred,AP-07,early,0,2970.63,0,,0.0,21
INV-000226,2026-06-04,2026-06-05,supplier_portal,tier_2_preferred,AP-03,late,0,4864.19,0,,0.0,22
INV-000227,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-02,early,0,224.36,0,,0.0,22
INV-000228,2026-06-03,2026-06-05,email_pdf,tier_3_tail,AP-07,early,0,2421.23,0,,0.0,17
INV-000229,2026-06-01,2026-06-05,supplier_portal,tier_1_strategic,AP-05,early,0,1675.55,0,,0.0,26
INV-000230,2026-06-05,2026-06-05,supplier_portal,tier_3_tail,AP-05,late,0,2653.57,0,,0.0,24
INV-000231,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-02,early,0,2488.61,0,,0.0,10
INV-000232,2026-06-05,2026-06-05,supplier_portal,tier_3_tail,AP-03,late,0,1839.85,0,,0.0,15
INV-000233,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-02,late,0,2136.88,0,,0.0,18
INV-000234,2026-06-03,2026-06-05,edi,tier_1_strategic,AP-04,late,0,769.52,0,,0.0,22
INV-000235,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-01,early,0,618.38,0,,0.0,14
INV-000236,2026-06-04,2026-06-05,supplier_portal,tier_2_preferred,AP-06,early,0,871.99,0,,0.0,15
INV-000237,2026-06-03,2026-06-05,edi,tier_2_preferred,AP-02,late,0,2928.88,0,,0.0,16
INV-000238,2026-06-01,2026-06-05,email_pdf,tier_1_strategic,AP-05,early,0,6601.35,0,,0.0,23
INV-000239,2026-06-02,2026-06-05,edi,tier_3_tail,AP-06,late,0,2044.13,0,,0.0,21
INV-000240,2026-06-03,2026-06-05,supplier_portal,tier_2_preferred,AP-07,early,0,1464.15,0,,0.0,22
